Date,Cases,Deaths,Tested,Cook_Cases,Events
1/24/20,1,,,,
1/25/20,1,,,,
1/26/20,1,,,,
1/27/20,1,,,,
1/28/20,1,,,,
1/29/20,1,,,,
1/30/20,2,,,,
1/31/20,2,,,,
2/1/20,2,,,,
2/2/20,2,,,,
2/3/20,2,,,,
2/4/20,2,,,,
2/5/20,2,,,,
2/6/20,2,,,,
2/7/20,2,,,,
2/8/20,2,,,,
2/9/20,2,,,,
2/10/20,2,,,,
2/11/20,2,,,,
2/12/20,2,,,,
2/13/20,2,,,,
2/14/20,2,,,,
2/15/20,2,,,,
2/16/20,2,,,,
2/17/20,2,,,,
2/18/20,2,,,,
2/19/20,2,,,,
2/20/20,2,,,,
2/21/20,2,,,,
2/22/20,2,,,,
2/23/20,2,,,,
2/24/20,2,,,,
2/25/20,2,,,,
2/26/20,2,,,,
2/27/20,2,,,,
2/28/20,2,,,,
2/29/20,3,,,,
3/1/20,3,,,,
3/2/20,4,,,,
3/3/20,4,,,,
3/4/20,4,,155,,
3/5/20,5,,197,,
3/6/20,6,,220,,
3/7/20,7,,241,,
3/8/20,7,,241,,
3/9/20,11,,242,,St. Patrick's day parade cancelled
3/10/20,19,,326,,
3/11/20,25,,326,,
3/12/20,32,,367,,
3/13/20,46,,418,,
3/14/20,64,,444,,
3/15/20,93,,708,,
3/16/20,105,,1025,,"Crowd size limited to under 50, bars and resturants takeout only"
3/17/20,160,1,1500,107,IL schools closed
3/18/20,288,1,2052,178,
3/19/20,422,4,3151,278,